Afghanistan,1995,
Afghanistan,1996,
Afghanistan,2000,
Afghanistan,2004,
Afghanistan,2008,15
Albania,1995,
Albania,1996,
Albania,2000,
Albania,2004,25
Albania,2008,34
Algeria,1995,
Algeria,1996,
Algeria,2000,
Algeria,2004,27
Algeria,2008,32
Angola,1995,
Angola,1996,
Angola,2000,17
Angola,2004,20
Angola,2008,19
Argentina,1995,52
Argentina,1996,34
Argentina,2000,35
Argentina,2004,25
Argentina,2008,29
Armenia,1995,
Armenia,1996,
Armenia,2000,25
Armenia,2004,31
Armenia,2008,29
Australia,1995,88
Australia,1996,86
Australia,2000,83
Australia,2004,88
Australia,2008,87
Austria,1995,71
Austria,1996,76
Austria,2000,77
Austria,2004,84
Austria,2008,81
Azerbaijan,1995,
Azerbaijan,1996,
Azerbaijan,2000,15
Azerbaijan,2004,19
Azerbaijan,2008,19
Bahrain,1995,
Bahrain,1996,
Bahrain,2000,
Bahrain,2004,58
Bahrain,2008,54
Bangladesh,1995,
Bangladesh,1996,23
Bangladesh,2000,
Bangladesh,2004,15
Bangladesh,2008,21
Barbados,1995,
Barbados,1996,
Barbados,2000,
Barbados,2004,73
Barbados,2008,70
Belarus,1995,
Belarus,1996,
Belarus,2000,41
Belarus,2004,32
Belarus,2008,20
Belgium,1995,69
Belgium,1996,69
Belgium,2000,61
Belgium,2004,75
Belgium,2008,73
Belize,1995,
Belize,1996,
Belize,2000,
Belize,2004,38
Belize,2008,29
Benin,1995,
Benin,1996,
Benin,2000,
Benin,2004,32
Benin,2008,31
Bhutan,1995,
Bhutan,1996,
Bhutan,2000,
Bhutan,2004,
Bhutan,2008,52
Bolivia,1995,
Bolivia,1996,34
Bolivia,2000,27
Bolivia,2004,22
Bolivia,2008,30
Bosnia and Herzegovina,1995,
Bosnia and Herzegovina,1996,
Bosnia and Herzegovina,2000,
Bosnia and Herzegovina,2004,31
Bosnia and Herzegovina,2008,32
Botswana,1995,
Botswana,1996,
Botswana,2000,60
Botswana,2004,60
Botswana,2008,58
Brazil,1995,27
Brazil,1996,30
Brazil,2000,39
